Id;Username;Password;LastName;FirstName;DateOfBirth;BirthPlace;Residence
3f5b1e3a-9f7a-4c9e-b5a1-01c2d3e4f001;jkovacs;12345678;Kovács;János;2026-02-08;Veszprém;Budapest
9a2c7b14-4d8e-42d3-9f31-01c2d3e4f002;anagy;P@ssw0rd2;Nagy;Anna;1992-07-25;Szeged;Szeged
c41d9f02-7a3b-4a2d-8c11-01c2d3e4f003;bpeter;P@ssw0rd3;Balogh;Péter;1985-11-03;Debrecen;Debrecen
e72a8c5d-1f9a-4f03-9a21-01c2d3e4f004;kszilvia;P@ssw0rd4;Kiss;Szilvia;1990-01-18;Miskolc;Budapest
a9f14d6b-83f2-4a91-b7d1-01c2d3e4f005;tvarga;P@ssw0rd5;Varga;Tamás;1983-06-30;Győr;Győr
b8c3a1e7-54f2-4c18-9d41-01c2d3e4f006;horvathl;P@ssw0rd6;Horváth;László;1979-09-14;Pécs;Pécs
d41f9a2b-8e6c-41b7-ae51-01c2d3e4f007;szaboe;P@ssw0rd7;Szabó;Eszter;1995-12-05;Eger;Eger
f8b7d1c9-2a6e-4c03-9b61-01c2d3e4f008;molnarg;P@ssw0rd8;Molnár;Gábor;1987-04-22;Szolnok;Budapest
14a6f3c9-9b72-4d3a-b771-01c2d3e4f009;takacsm;P@ssw0rd9;Takács;Márton;1991-08-09;Veszprém;Veszprém
7d2a9c14-5b83-4f01-9d81-01c2d3e4f010;fehern;P@ssw0rd10;Fehér;Noémi;1996-02-27;Kecskemét;Szeged
a6f9b4c2-18e3-4d91-8e91-01c2d3e4f011;toothd;P@ssw0rd11;Tóth;Dániel;1984-10-16;Nyíregyháza;Debrecen
b3d1f6a8-9c24-42f1-aea1-01c2d3e4f012;lakatosr;P@ssw0rd12;Lakatos;Réka;1993-05-11;Sopron;Győr
c7e1b3f9-84d2-4a01-beb1-01c2d3e4f013;farkasz;P@ssw0rd13;Farkas;Zoltán;1978-12-01;Békéscsaba;Szeged
d91a6f42-3e7c-4b21-9ec1-01c2d3e4f014;papl;P@ssw0rd14;Papp;Lilla;1999-09-19;Hatvan;Budapest
e3c8f1a9-6b24-4d12-aed1-01c2d3e4f015;balazsk;P@ssw0rd15;Balázs;Krisztián;1986-07-07;Dunaújváros;Székesfehérvár
f19a2d7c-8b63-4a91-bfe1-01c2d3e4f016;borbelya;P@ssw0rd16;Borbély;Ágnes;1994-03-29;Kaposvár;Pécs
21d4a7f9-6c82-4e13-9f01-01c2d3e4f017;kerekesm;P@ssw0rd17;Kerekes;Miklós;1981-01-04;Esztergom;Budapest
39f6a1d2-5b84-4c31-a111-01c2d3e4f018;illesb;P@ssw0rd18;Illés;Bence;1997-06-21;Szentendre;Szentendre
4a2d8f9c-17b3-4e21-b121-01c2d3e4f019;nemethj;P@ssw0rd19;Németh;Judit;1989-11-28;Zalaegerszeg;Zalaegerszeg
5c1f9a7d-8b24-4d31-a131-01c2d3e4f020;oross;P@ssw0rd20;Orosz;Sándor;1975-05-15;Baja;Kecskemét
